Dock,Image,Attractive_VdW,Global_Energy,Repulsive_VdW,ACE,HB
OMP 33-36_AMP1.pdb,omp33-36_AMP1.JPG,-6.94,-14.18,6.11,-5.16,-0.48
OMP 33-36_AMP2.pdb,omp33-36_AMP2.JPG,-26.08,-22.91,8.89,13.18,-3.11
OMP 33-36_AMP3.pdb,omp33-36_AMP3.JPG,-34.72,-54.76,24.71,-4.4,-3.38
OMP 33-36_AMP4.pdb,omp33-36_AMP4.JPG,-2.22,4.57,0.61,2.26,0.1
OMP 33-36_AMP5.pdb,omp33-36_AMP5.JPG,-31.62,-35.57,2.43,19.3,-5.24
OMP 33-36_AMP6.pdb,omp33-36_AMP6.JPG,-32.81,-19.35,35.75,5.73,-2.17
OMP 33-36_AMP7.pdb,omp33-36_AMP7.JPG,-26.36,-58.58,23.01,8.41,-1.79
OMP 33-36_AMP8.pdb,omp33-36_AMP8.JPG,-27.9,-26.83,15.65,7.05,-2.95
OMP 33-36_AMP9.pdb,omp33-36_AMP9.JPG,-40.89,-60.48,31.57,-12.04,-2.51
OMP 33-36_AMP10.pdb,omp33-36_AMP10.JPG,-29.38,-15.51,18.88,18.27,-4.56
OMP 33-36_AMP11.pdb,omp33-36_AMP11.JPG,-34.31,-55.2,10.88,9.03,-5.78
OMP 33-36_AMP12.pdb,omp33-36_AMP12.JPG,-4.12,-4.48,0.66,0.07,-1.24
OMP 33-36_AMP13.pdb,omp33-36_AMP13.JPG,-29.9,-18.89,10.52,11.3,-3.83
OMP 33-36_AMP14.pdb,omp33-36_AMP14.JPG,-23.9,-5.31,3.96,11.41,-1.59
OMP 33-36_AMP15.pdb,omp33-36_AMP15.JPG,-32.35,-9.84,21.05,21.87,-1.25
OMP 33-36_AMP16.pdb,omp33-36_AMP16.JPG,-33.24,-39.8,28.15,15.36,-3.17
OMP 33-36_AMP17.pdb,omp33-36_AMP17.JPG,-27.96,-31.84,17.6,9.71,-3.85
OMP 33-36_AMP18.pdb,omp33-36_AMP18.JPG,-37.19,-61.31,18.64,2.6,-4.01
OMP 33-36_AMP19.pdb,omp33-36_AMP19.JPG,-28.63,-64.69,20.13,13.85,-3.01
OMP 33-36_AMP20.pdb,omp33-36_AMP20.JPG,-26.17,-39.34,9.55,4.87,-0.85
OMP 33-36_AMP21.pdb,omp33-36_AMP21.JPG,-27.39,-16.12,14.46,12.21,-0.3
OMP 33-36_AMP22.pdb,omp33-36_AMP22.JPG,-32.58,-46.86,22.51,2.46,-5.5
